sequence	run_id	stage_id	stage_code	category	manifest_phase	runner_phase	stage_name
131	stage0831run_0131_graph-capture-full_stage11609	11609	ALLOC-OUT_ACC-S09	allocator	graph-capture	graph-capture-full	cache hit/miss、split 与已找到 block 物化
132	stage0831run_0132_graph-capture-full_stage11610	11610	ALLOC-OUT_ACC-S10	allocator	graph-capture	graph-capture-full	new block 的 cudaMallocMaybeCapturing/cudaMalloc Runtime 提交
133	stage0831run_0133_graph-capture-full_stage11611	11611	ALLOC-OUT_ACC-S11	allocator	graph-capture	graph-capture-full	cudaMalloc 状态与 new Block 建立
134	stage0831run_0134_graph-capture-full_stage11612	11612	ALLOC-OUT_ACC-S12	allocator	graph-capture	graph-capture-full	DataPtr、Storage 与 Tensor 返回
135	stage0831run_0135_graph-capture-full_stage11701	11701	COPY-S01	copy	graph-capture	graph-capture-full	copy_入口、names 与 ZeroTensor 分支
136	stage0831run_0136_graph-capture-full_stage11702	11702	COPY-S02	copy	graph-capture	graph-capture-full	copy_impl 输入/设备/alias/quantized 早退检查
137	stage0831run_0137_graph-capture-full_stage11703	11703	COPY-S03	copy	graph-capture	graph-capture-full	TensorIterator 构造
138	stage0831run_0138_graph-capture-full_stage11704	11704	COPY-S04	copy	graph-capture	graph-capture-full	device type 与 copy_stub 后端选择
139	stage0831run_0139_graph-capture-full_stage11705	11705	COPY-S05	copy	graph-capture	graph-capture-full	P2P、temporary 与 CUDA/CPU 路径选择
140	stage0831run_0140_graph-capture-full_stage11706	11706	COPY-S06	copy	graph-capture	graph-capture-full	same-device stream 与 memcpy eligibility
141	stage0831run_0141_graph-capture-full_stage11707	11707	COPY-S07	copy	graph-capture	graph-capture-full	cross-device event 同步准备
142	stage0831run_0142_graph-capture-full_stage11708	11708	COPY-S08	copy	graph-capture	graph-capture-full	GPU copy dtype/variant 与参数选择
143	stage0831run_0143_graph-capture-full_stage11709	11709	COPY-S09	copy	graph-capture	graph-capture-full	gpu_kernel 参数、vectorization 与 launch geometry
144	stage0831run_0144_graph-capture-full_stage11710	11710	COPY-S10	copy	graph-capture	graph-capture-full	cudaMemcpyAsync/cudaMemcpyPeerAsync Runtime 提交
145	stage0831run_0145_graph-capture-full_stage11711	11711	COPY-S11	copy	graph-capture	graph-capture-full	GPU copy kernel Runtime 提交
146	stage0831run_0146_graph-capture-full_stage11712	11712	COPY-S12	copy	graph-capture	graph-capture-full	copy submit 状态检查
147	stage0831run_0147_graph-capture-full_stage11713	11713	COPY-S13	copy	graph-capture	graph-capture-full	cross-device completion event 同步
148	stage0831run_0148_graph-capture-full_stage11714	11714	COPY-S14	copy	graph-capture	graph-capture-full	copy CUDA 实现与公开 op 返回
149	stage0831run_0149_graph-capture-full_stage11801	11801	FA-ZERO-COND	branch_condition	graph-capture	graph-capture-full	zero_tensors / return_softmax 条件判定
150	stage0831run_0150_graph-capture-full_stage11814	11814	FA-EMPTYK-COND	branch_condition	graph-capture	graph-capture-full	max_seqlen_k > 0 launch / empty-K fill 条件判定
